id,date,price,lat,lon
383,2/18,268.09,40.693268,-73.986663
384,2/18,268.09,40.723945,-73.979219
385,2/18,268.09,40.656212,-73.887312
386,2/18,268.09,40.656212,-73.887312
387,2/18,268.09,40.656212,-73.887312
388,2/18,268.09,40.759163,-73.988378
389,2/18,268.09,40.759163,-73.988378
390,2/18,268.09,40.759163,-73.988378
391,2/18,268.09,40.634375,-73.884172
392,2/19,268.03,40.719150,-73.734319
393,2/19,268.03,40.719150,-73.734319
394,2/19,268.03,40.695633,-73.979867
395,2/19,268.03,40.595688,-74.000213
396,2/19,268.03,40.591645,-73.786180
397,2/19,268.03,40.596365,-73.764765
398,2/19,268.03,40.650720,-73.897093
399,2/19,268.03,40.722581,-73.757269
400,2/19,268.03,40.722581,-73.757269
401,2/19,268.03,40.624520,-73.911449
402,2/19,268.03,40.824217,-73.905130
403,2/19,268.03,40.724081,-73.745941
404,2/20,267.99,40.637749,-74.076869
405,2/20,267.99,40.637749,-74.076869
406,2/20,267.99,40.737289,-73.995152
407,2/20,267.99,40.737289,-73.995152
408,2/20,267.99,40.691929,-73.926316
409,2/20,267.99,40.691929,-73.926316
410,2/20,267.99,40.756567,-73.990276
411,2/20,267.99,40.661637,-73.882714
412,2/20,267.99,40.661637,-73.882714
413,2/20,267.99,40.661637,-73.882714
414,2/20,267.99,40.659447,-73.918789
415,2/20,267.99,40.659447,-73.918789
416,2/20,267.99,40.642042,-73.981226
417,2/20,267.99,40.675279,-73.926225
418,2/20,267.99,40.820813,-73.853444
419,2/20,267.99,40.825857,-73.937256
420,2/20,267.99,40.826059,-73.866885
421,2/20,267.99,40.826059,-73.866885
422,2/20,267.99,40.826059,-73.866885
423,2/20,267.99,40.684295,-73.808005
424,2/20,267.99,40.661190,-73.960274
425,2/20,267.99,40.730193,-73.813260
426,2/21,268.01,40.830995,-73.938628
427,2/21,268.01,40.676861,-74.006936
428,2/21,268.01,40.676861,-74.006936
429,2/21,268.01,40.672558,-73.998838
430,2/21,268.01,40.822122,-73.896884
431,2/22,267.94,40.756392,-73.909417
432,2/22,267.94,40.756392,-73.909417
433,2/22,267.94,40.729753,-73.986817
434,2/22,267.94,40.670559,-73.942609
435,2/22,267.94,40.651108,-73.943833
436,2/22,267.94,40.700542,-73.854646
437,2/22,267.94,40.610550,-73.752312
438,2/22,267.94,40.724924,-73.974014
439,2/22,267.94,40.789641,-73.943698
440,2/22,267.94,40.604920,-73.998459
441,2/22,267.94,40.793331,-73.947393
442,2/22,267.94,40.794437,-73.946998
443,2/22,267.94,40.794437,-73.946998
444,2/23,267.95,40.679596,-73.886634
445,2/23,267.95,40.818000,-73.845331
446,2/23,267.95,40.661108,-73.919030
447,2/23,267.95,40.856193,-73.901512
448,2/23,267.95,40.856193,-73.901512
449,2/23,267.95,40.856193,-73.901512
450,2/23,267.95,40.856193,-73.901512
451,2/23,267.95,40.856193,-73.901512
452,2/23,267.95,40.856193,-73.901512
453,2/24,267.86,40.833336,-73.907951
454,2/24,267.86,40.711133,-73.810350
455,2/24,267.86,40.833121,-73.906799
456,2/24,267.86,40.682932,-73.990038
457,2/25,267.7,40.668824,-73.804804
458,2/25,267.7,40.575922,-73.991139
459,2/25,267.7,40.575922,-73.991139
460,2/25,267.7,40.836603,-73.903141
461,2/25,267.7,40.800336,-73.934552
462,2/26,267.67,40.677571,-73.750543
463,2/26,267.67,40.722442,-73.978354
464,2/26,267.67,40.823037,-73.903638
465,2/26,267.67,40.624386,-73.946431
466,2/26,267.67,40.624386,-73.946431
467,2/26,267.67,40.624386,-73.946431
468,2/26,267.67,40.630349,-73.945437
469,2/26,267.67,40.630349,-73.945437
470,2/26,267.67,40.630349,-73.945437
471,2/27,267.72,40.832867,-73.937030
472,2/27,267.72,40.645109,-73.979880
473,2/27,267.72,40.666914,-73.903990
474,2/27,267.72,40.666914,-73.903990
475,2/27,267.72,40.727250,-73.986943
476,2/27,267.72,40.728026,-73.747639
477,2/27,267.72,40.864481,-73.918935
478,2/27,267.72,40.683188,-73.987412
479,2/28,267.69,40.717683,-73.737881
480,2/28,267.69,40.788930,-73.945422
481,2/28,267.69,40.679888,-73.949792
